|ROW|COL|Value
52|Imp_A21|ABW_A04|2263.435
53|Imp_A22|ABW_A04|421.632
54|Imp_A23|ABW_A04|980.65
55|Imp_A24|ABW_A04|314.007
56|Imp_A25|ABW_A04|154.495
57|Imp_A26|ABW_A04|5666.024
58|Imp_ZL0008|ABW_A04|-7.129
59|Imp_ZLR1|ABW_A04|0.0
0|ABW_A01|ABW_A05|3.381
1|ABW_A02|ABW_A05|0.747
2|ABW_A03|ABW_A05|3.029
3|ABW_A04|ABW_A05|25.185
4|ABW_A05|ABW_A05|322.77
5|ABW_A06|ABW_A05|93.957
6|ABW_A07|ABW_A05|176.069
7|ABW_A08|ABW_A05|7.344
8|ABW_A09|ABW_A05|12.787
9|ABW_A10|ABW_A05|0.487
10|ABW_A11|ABW_A05|63.538
11|ABW_A12|ABW_A05|2.045
12|ABW_A13|ABW_A05|306.973
13|ABW_A14|ABW_A05|44.92
14|ABW_A15|ABW_A05|11.973
15|ABW_A16|ABW_A05|697.248
16|ABW_A17|ABW_A05|50.318
17|ABW_A18|ABW_A05|92.626
18|ABW_A19|ABW_A05|99.651
19|ABW_A20|ABW_A05|40.039
20|ABW_A21|ABW_A05|1280.39
21|ABW_A22|ABW_A05|1.247
22|ABW_A23|ABW_A05|31.216
23|ABW_A24|ABW_A05|0.105
24|ABW_A25|ABW_A05|7.928
25|ABW_A26|ABW_A05|0.309
26|ABW_LG01|ABW_A05|4.969
27|ABW_LG02|ABW_A05|-7.531
28|ABW_LH01|ABW_A05|1276.85
29|ABW_LK01|ABW_A05|366.462
30|ABW_LK02|ABW_A05|69.133
31|ABW_LK03|ABW_A05|161.374
32|Imp_A01|ABW_A05|1669.436
33|Imp_A02|ABW_A05|338.36
34|Imp_A03|ABW_A05|621.015
35|Imp_A04|ABW_A05|1546.388
36|Imp_A05|ABW_A05|8890.258
37|Imp_A06|ABW_A05|642.649
38|Imp_A07|ABW_A05|2985.284
39|Imp_A08|ABW_A05|710.392
40|Imp_A09|ABW_A05|1421.922
41|Imp_A10|ABW_A05|484.454
42|Imp_A11|ABW_A05|736.8729999999999
43|Imp_A12|ABW_A05|285.688
44|Imp_A13|ABW_A05|335.777
45|Imp_A14|ABW_A05|507.115
46|Imp_A15|ABW_A05|290.606
47|Imp_A16|ABW_A05|460.105
48|Imp_A17|ABW_A05|649.1270000000001
49|Imp_A18|ABW_A05|455.069
50|Imp_A19|ABW_A05|586.782
51|Imp_A20|ABW_A05|462.42900000000003
52|Imp_A21|ABW_A05|1500.404
53|Imp_A22|ABW_A05|395.928
54|Imp_A23|ABW_A05|951.718
55|Imp_A24|ABW_A05|287.938
56|Imp_A25|ABW_A05|161.048
57|Imp_A26|ABW_A05|1512.465
58|Imp_ZL0008|ABW_A05|-7.173
59|Imp_ZLR1|ABW_A05|0.0
0|ABW_A01|ABW_A06|157.747
1|ABW_A02|ABW_A06|1.17
2|ABW_A03|ABW_A06|102.081
3|ABW_A04|ABW_A06|68.354
4|ABW_A05|ABW_A06|342.035
5|ABW_A06|ABW_A06|10126.0
6|ABW_A07|ABW_A06|866.032
7|ABW_A08|ABW_A06|102.329
8|ABW_A09|ABW_A06|208.068
9|ABW_A10|ABW_A06|5.214
10|ABW_A11|ABW_A06|395.569
11|ABW_A12|ABW_A06|260.668
12|ABW_A13|ABW_A06|4480.64
13|ABW_A14|ABW_A06|743.279
14|ABW_A15|ABW_A06|121.374
15|ABW_A16|ABW_A06|5677.31
16|ABW_A17|ABW_A06|190.154
17|ABW_A18|ABW_A06|1321.78
18|ABW_A19|ABW_A06|1411.46
19|ABW_A20|ABW_A06|665.859
20|ABW_A21|ABW_A06|7373.71
21|ABW_A22|ABW_A06|23.549
22|ABW_A23|ABW_A06|311.516
23|ABW_A24|ABW_A06|0.158
24|ABW_A25|ABW_A06|48.774
25|ABW_A26|ABW_A06|0.592
26|ABW_LG01|ABW_A06|23.023
27|ABW_LG02|ABW_A06|-4.931
28|ABW_LH01|ABW_A06|5881.88
29|ABW_LK01|ABW_A06|1881.7
30|ABW_LK02|ABW_A06|324.992
31|ABW_LK03|ABW_A06|819.939
32|Imp_A01|ABW_A06|4091.882
33|Imp_A02|ABW_A06|408.78
34|Imp_A03|ABW_A06|768.3389999999999
35|Imp_A04|ABW_A06|1207.256
36|Imp_A05|ABW_A06|1967.981
37|Imp_A06|ABW_A06|23842.756
