ROW|GrossOutput
BDI_A20|138303.477
BDI_A21|690684.142
BDI_A22|336176.067
BDI_A23|441083.93799999997
BDI_A24|33276.138
BDI_A25|39326.081
BDI_A26|29349.212999999996
BEL_A01|16009154.246999998
BEL_A02|263856.882
BEL_A03|3265637.455
BEL_A04|58582812.867
BEL_A05|20368343.941
BEL_A06|28445767.136
BEL_A07|112962998.757
BEL_A08|51216753.842
BEL_A09|50154496.53400001
BEL_A10|38615296.558
BEL_A11|9134114.711000001
BEL_A12|418603.983
BEL_A13|21712136.832000002
BEL_A14|79516963.182
BEL_A15|18898197.472000003
BEL_A16|82366429.08999997
BEL_A17|30695977.585999995
BEL_A18|21340966.889
BEL_A19|75241929.575
BEL_A20|24537575.03
BEL_A21|236084725.303
BEL_A22|50733655.28999999
BEL_A23|104237764.029
BEL_A24|1717306.7199999997
BEL_A25|3228419.1340000005
BEL_A26|121830635.268
BEN_A01|2694668.824
BEN_A02|155452.283
BEN_A03|78757.971
BEN_A04|1012143.306
BEN_A05|160870.356
BEN_A06|409129.2629999999
BEN_A07|846909.054
BEN_A08|346718.59800000006
BEN_A09|959693.511
BEN_A10|427053.47800000006
BEN_A11|156357.128
BEN_A12|59249.049999999996
BEN_A13|215962.21099999995
BEN_A14|1767474.8189999997
BEN_A15|80029.65
BEN_A16|1153326.2879999997
BEN_A17|937360.2339999999
BEN_A18|988282.878
BEN_A19|944651.0160000001
BEN_A20|870508.148
BEN_A21|2016480.8250000002
BEN_A22|915479.3889999999
BEN_A23|1048612.085
BEN_A24|85267.81700000001
BEN_A25|67846.728
BEN_A26|23151.041
BFA_A01|3895976.17
BFA_A02|196892.787
BFA_A03|365091.25299999997
BFA_A04|850063.5110000002
BFA_A05|210198.09999999998
BFA_A06|412869.66800000006
BFA_A07|1100303.934
BFA_A08|459217.65900000004
BFA_A09|1289346.9130000002
BFA_A10|601970.343
BFA_A11|180065.191
BFA_A12|53984.81100000001
BFA_A13|1597131.4160000002
BFA_A14|1246683.9279999998
BFA_A15|72204.47700000001
BFA_A16|1176434.1609999996
BFA_A17|1029176.8160000001
BFA_A18|750368.4029999999
BFA_A19|448122.0890000002
BFA_A20|614374.8380000001
BFA_A21|3332615.7879999997
BFA_A22|1580952.791
BFA_A23|1696167.986
BFA_A24|46423.557999999975
BFA_A25|62666.779999999984
BFA_A26|29349.468999999997
BGD_A01|45346130.06300001
BGD_A02|3566532.490000001
BGD_A03|2296501.4740000004
BGD_A04|22007791.697000004
BGD_A05|19118352.651
BGD_A06|8988087.962000001
BGD_A07|24571285.185000002
BGD_A08|10059832.789
BGD_A09|28910139.777000003
BGD_A10|12005877.574000001
BGD_A11|3976500.483
BGD_A12|609410.3389999998
BGD_A13|8758314.494999997
BGD_A14|50722802.73600002
BGD_A15|904778.121
BGD_A16|20139529.733
BGD_A17|19975611.521999996
BGD_A18|14281415.593999999
BGD_A19|16605393.782000003
BGD_A20|17946595.254
BGD_A21|60019545.837
BGD_A22|18123030.950000003
BGD_A23|28984511.233999994
BGD_A24|495110.73600000003
BGD_A25|775117.5199999999
BGD_A26|17186.965999999993
BGR_A01|7015033.672
BGR_A02|184803.83099999998
BGR_A03|1496980.79
BGR_A04|6113457.595999999
BGR_A05|4605243.692
BGR_A06|3698685.234
BGR_A07|12746773.076000001
BGR_A08|7110811.088
BGR_A09|12139018.348000001
BGR_A10|3797537.595
BGR_A11|1427207.8540000003
BGR_A12|388203.75899999996
BGR_A13|9635339.603
BGR_A14|9456381.288
BGR_A15|296853.24199999997
BGR_A16|8411660.452000001
BGR_A17|4039386.8670000006
BGR_A18|5463807.269000001
BGR_A19|11513057.590999998
BGR_A20|6313984.3999999985
BGR_A21|18565911.806999996
BGR_A22|7180647.203000001
BGR_A23|9395489.787999999
BGR_A24|157933.262
BGR_A25|493791.294
BGR_A26|33063.941
BHR_A01|317175.075
BHR_A02|64955.602000000006
BHR_A03|3399231.712
BHR_A04|2438649.5760000004
BHR_A05|1211158.417
BHR_A06|1936357.5190000003
BHR_A07|9392459.112
BHR_A08|6222552.251
BHR_A09|5130528.427
BHR_A10|2155961.9960000003
BHR_A11|649210.317
BHR_A12|252982.78699999998
BHR_A13|4124263.061
BHR_A14|6444836.283
BHR_A15|164877.99300000002
BHR_A16|2567347.027
BHR_A17|1743814.07
BHR_A18|1796807.883
BHR_A19|4041846.9499999997
BHR_A20|2099356.77
BHR_A21|11185680.293
BHR_A22|4112961.3809999996
BHR_A23|5135833.2069999995
BHR_A24|135896.483
BHR_A25|226922.269
BHR_A26|69351.07699999999
BHS_A01|198554.85700000008
BHS_A02|38075.003999999986
BHS_A03|196903.94400000002
BHS_A04|1006213.5279999999
BHS_A05|59454.359000000004
BHS_A06|151654.97400000002
BHS_A07|675406.719
BHS_A08|157115.821
BHS_A09|493058.99499999994
BHS_A10|242029.653
BHS_A11|99226.356
BHS_A12|26091.693999999996
BHS_A13|753106.506
BHS_A14|1266340.3529999997
BHS_A15|72713.91799999999
BHS_A16|1728012.517
BHS_A17|1178996.261
BHS_A18|956079.746
BHS_A19|767108.646
BHS_A20|703319.5339999999
BHS_A21|4325942.503
BHS_A22|1266314.419
BHS_A23|1839168.0680000002
BHS_A24|37081.932
BHS_A25|49324.83500000001
BHS_A26|9309.073
BIH_A01|2308423.877
BIH_A02|103178.58600000001
BIH_A03|603951.572
BIH_A04|1303462.7430000002
BIH_A05|1097349.7999999998
BIH_A06|1093873.161
BIH_A07|2221523.267
BIH_A08|1158944.699
BIH_A09|2566205.4710000004
BIH_A10|1034444.6359999999
BIH_A11|418724.7860000001
BIH_A12|124485.962
BIH_A13|1608401.067
BIH_A14|2034044.8080000002
BIH_A15|128799.088
BIH_A16|2029913.801
BIH_A17|1592963.405
BIH_A18|1165426.844
BIH_A19|1246629.889
BIH_A20|1188070.6349999998
BIH_A21|5141324.183
BIH_A22|2335173.1610000003
BIH_A23|2721248.5360000003
BIH_A24|77054.385
BIH_A25|105987.93199999999
BIH_A26|29597.268999999997
BLR_A01|3567737.146
BLR_A02|282180.162
BLR_A03|1191300.897
BLR_A04|1655140.6099999999
BLR_A05|1424226.758
BLR_A06|1226606.4919999999
BLR_A07|5500897.42
BLR_A08|2050836.7740000002
BLR_A09|4662379.262999999
BLR_A10|294597.143
BLR_A11|302390.08499999996
BLR_A12|137872.46099999998
BLR_A13|1412271.0059999996
BLR_A14|3186838.419
BLR_A15|201685.70400000003
BLR_A16|2710721.9790000003
BLR_A17|3001123.862
BLR_A18|500013.03099999996
BLR_A19|5130024.648
BLR_A20|1280552.025
BLR_A21|5913488.579000001
BLR_A22|2313008.1259999997
BLR_A23|4744642.328
BLR_A24|253515.28100000002
BLR_A25|1224077.731
BLR_A26|2380933.165
BLZ_A01|241182.313
BLZ_A02|24980.773
BLZ_A03|33212.912
BLZ_A04|181012.13799999998
BLZ_A05|22245.52
BLZ_A06|42704.329
BLZ_A07|80353.12400000001
BLZ_A08|39916.205
BLZ_A09|96029.86300000001
BLZ_A10|51584.94
BLZ_A11|23202.661
BLZ_A12|10631.315
BLZ_A13|89388.73499999999
BLZ_A14|217831.10400000005
BLZ_A15|28750.811
BLZ_A16|230201.663
BLZ_A17|189024.69499999998
BLZ_A18|147195.09599999996
BLZ_A19|108704.357
BLZ_A20|118445.38199999998
BLZ_A21|369379.48400000005
BLZ_A22|221845.01299999998
BLZ_A23|261202.16800000003
BLZ_A24|15418.401000000002
BLZ_A25|14360.995
BLZ_A26|10877.463
BMU_A01|71993.708
BMU_A02|24059.162
BMU_A03|59544.56100000001
BMU_A04|110802.507
BMU_A05|29128.72
BMU_A06|41702.736999999994
BMU_A07|117906.35
BMU_A08|44735.653999999995
BMU_A09|125788.714
BMU_A10|96995.97099999999
BMU_A11|42042.806
BMU_A12|26702.803999999996
BMU_A13|712567.7909999999
BMU_A14|441474.67199999996
BMU_A15|52106.848
BMU_A16|343885.661
BMU_A17|338908.29000000004
BMU_A18|617168.2170000001
BMU_A19|580420.8549999999
BMU_A20|163533.661
BMU_A21|2993206.478
BMU_A22|1198768.4389999998
BMU_A23|1510650.227
BMU_A24|131236.064
BMU_A25|100997.20800000001
BMU_A26|26516.793
BOL_A01|3637725.117
BOL_A02|115143.066
BOL_A03|2283715.7299999995
BOL_A04|4265262.213
BOL_A05|881662.0489999999
BOL_A06|779812.2159999998
BOL_A07|2090850.738
BOL_A08|466584.24600000004
BOL_A09|516698.448
BOL_A10|56506.40700000001
BOL_A11|131495.18899999998
BOL_A12|48988.42999999999
BOL_A13|618801.766
BOL_A14|1836962.54
BOL_A15|57140.317
BOL_A16|736475.4290000001
BOL_A17|1638023.142
BOL_A18|1465813.992
BOL_A19|2348934.0879999995
BOL_A20|806850.317
BOL_A21|2951969.2249999996
BOL_A22|2657409.028
BOL_A23|975955.3480000001
BOL_A24|90366.35200000001
BOL_A25|1016249.918
BOL_A26|90645.75
BRA_A01|107544083.79699999
BRA_A02|19182388.737
BRA_A03|80489126.268
BRA_A04|181746088.347
BRA_A05|68041477.92100002
BRA_A06|57871785.48000001
BRA_A07|291393233.92899996
BRA_A08|97690305.56899999
BRA_A09|149308343.09600002
BRA_A10|111267341.88899998
BRA_A11|22027405.453
BRA_A12|8196213.693999999
BRA_A13|75948615.76399998
BRA_A14|133010399.64400001
BRA_A15|3792721.135
BRA_A16|48883930.553
BRA_A17|108724635.40999998
BRA_A18|81314834.312
BRA_A19|105360555.65799999
BRA_A20|95572200.86299998
BRA_A21|398715579.246
BRA_A22|217575977.763
BRA_A23|202219270.38900003
BRA_A24|236126.83799999545
BRA_A25|62416738.379999995
BRA_A26|1960349.417
BRB_A01|155895.005
BRB_A02|22139.760000000002
BRB_A03|96778.85900000003
BRB_A04|427145.9469999999
BRB_A05|77704.95200000002
BRB_A06|193832.44
BRB_A07|478027.3929999999
BRB_A08|196559.012
BRB_A09|507826.0690000001
BRB_A10|204381.745
BRB_A11|85230.11799999999
BRB_A12|29363.378
BRB_A13|188879.629
BRB_A14|528256.505
BRB_A15|50403.272
BRB_A16|554406.286
BRB_A17|498681.2680000001
BRB_A18|347654.171
BRB_A19|431149.69299999997
BRB_A20|410687.93200000003
BRB_A21|1974668.5020000003
BRB_A22|564589.402
BRB_A23|873989.7139999999
BRB_A24|33947.046
BRB_A25|40942.349
BRB_A26|17025.355
BRN_A01|245336.39900000003
BRN_A02|32174.087
BRN_A03|5569593.149
BRN_A04|500270.15299999993
BRN_A05|246889.341
BRN_A06|492766.23900000006
BRN_A07|1288751.597
BRN_A08|613483.351
BRN_A09|1727072.5329999998
BRN_A10|706757.1150000001
BRN_A11|238716.01300000004
BRN_A12|39974.66499999999
BRN_A13|2434122.543
BRN_A14|2220545.691
BRN_A15|46221.37300000001
BRN_A16|935046.6049999999
BRN_A17|671786.18
BRN_A18|610022.845
BRN_A19|885712.142
BRN_A20|684685.9730000001
BRN_A21|2936837.6689999998
BRN_A22|2003904.2769999995
BRN_A23|1636635.0950000002
BRN_A24|31826.541999999998
BRN_A25|70972.286
BRN_A26|17657.231
BTN_A01|394521.33499999996
BTN_A02|68602.44399999999
BTN_A03|80133.64699999998
BTN_A04|312601.1669999999
BTN_A05|33801.623999999996
BTN_A06|58367.96799999999
BTN_A07|112809.23999999999
BTN_A08|110944.10199999998
BTN_A09|113894.245
BTN_A10|49476.687999999995
BTN_A11|28995.515
BTN_A12|18547.019999999997
BTN_A13|463639.81699999986
BTN_A14|913346.862
BTN_A15|29718.43
BTN_A16|146011.83700000003
BTN_A17|153897.741
BTN_A18|144478.08
BTN_A19|267331.298
BTN_A20|170270.309
BTN_A21|215266.91000000003
BTN_A22|289992.81799999997
BTN_A23|232141.892
BTN_A24|33926.028
BTN_A25|22751.196000000004
BTN_A26|25543.047
BWA_A01|434613.54599999986
BWA_A02|46603.81999999999
BWA_A03|1992240.738
BWA_A04|668606.482
BWA_A05|265775.02800000005
BWA_A06|519914.71
BWA_A07|1324932.845
BWA_A08|536346.0850000001
BWA_A09|1269367.423
BWA_A10|589749.233
BWA_A11|554382.7079999999
BWA_A12|79186.49699999999
BWA_A13|2549262.6719999993
BWA_A14|3287109.4400000004
BWA_A15|162390.342
BWA_A16|1975313.0869999998
BWA_A17|1403712.002
BWA_A18|1614898.631
BWA_A19|973970.896
BWA_A20|844680.4339999999
BWA_A21|6329052.568999999
BWA_A22|2728814.0130000003
BWA_A23|2814927.0590000004
BWA_A24|85326.136
BWA_A25|134853.473
BWA_A26|28796.730000000003
CAF_A01|604151.6309999999
CAF_A02|65820.38200000001
CAF_A03|40413.825
CAF_A04|175802.17700000003
CAF_A05|36845.98299999999
CAF_A06|98912.867
CAF_A07|205069.087
CAF_A08|91166.39699999998
CAF_A09|235674.808
CAF_A10|104967.11699999998
CAF_A11|45341.695999999996
CAF_A12|16399.024000000005
CAF_A13|84657.737
CAF_A14|225602.35800000004
CAF_A15|20735.881
CAF_A16|216769.77200000003
CAF_A17|199278.902
CAF_A18|143952.95
CAF_A19|114191.952
CAF_A20|115229.465
CAF_A21|664733.013
CAF_A22|202031.378
CAF_A23|321048.79000000004
CAF_A24|15277.907
CAF_A25|18325.034999999996
CAF_A26|12597.166
CAN_A01|84886608.485
CAN_A02|12420639.645
CAN_A03|132711630.521
CAN_A04|121614031.619
CAN_A05|24600903.889
CAN_A06|134158945.505
CAN_A07|177374674.73399997
CAN_A08|97080516.14799997
CAN_A09|143704998.389
CAN_A10|140103937.438
CAN_A11|38915571.22500001
CAN_A12|12684727.183000002
CAN_A13|37769740.94
CAN_A14|226039884.72700006
CAN_A15|6246249.6219999995
CAN_A16|80507273.17499998
CAN_A17|179059118.541
CAN_A18|77735961.02899998
CAN_A19|258095271.79899997
CAN_A20|46378992.72
CAN_A21|597220059.924
CAN_A22|215142003.46499997
CAN_A23|243061490.40499997
CAN_A24|8986.178
CAN_A25|2579063.4649999994
CAN_A26|28798035.651
CHE_A01|15497845.667000001
CHE_A02|2246897.891
CHE_A03|5848825.013
CHE_A04|43186194.557
CHE_A05|16854765.469
CHE_A06|34635684.958000004
CHE_A07|109570107.74700001
CHE_A08|49762735.251
CHE_A09|189794304.03399998
CHE_A10|21879085.887999993
CHE_A11|13750284.202000001
CHE_A12|818588.2239999999
CHE_A13|32309423.342
CHE_A14|58036567.94500001
CHE_A15|5815211.252
CHE_A16|34672782.216
CHE_A17|77117169.345
CHE_A18|37134088.510000005
CHE_A19|56952044.140999995
CHE_A20|27835031.222
CHE_A21|248532056.68300003
CHE_A22|40728003.375999995
CHE_A23|122510427.74899998
CHE_A24|2057033.8619999997
CHE_A25|5476758.403999999
CHE_A26|98773.38199999975
CHL_A01|16604270.244
CHL_A02|5538630.763
CHL_A03|50720193.78
CHL_A04|38161867.388000004
CHL_A05|9941634.445000004
CHL_A06|14113121.078999998
CHL_A07|34005161.143
CHL_A08|12714943.152
CHL_A09|3986537.1950000003
CHL_A10|1428228.4290000002
CHL_A11|2734887.5470000003
CHL_A12|134774.613
CHL_A13|21202944.252000004
CHL_A14|35627009.27599999
CHL_A15|1153833.663
CHL_A16|14871613.301
CHL_A17|33076538.386000004
CHL_A18|12613000.987000002
CHL_A19|36600710.135000005
CHL_A20|10097231.667000001
CHL_A21|68776864.023
CHL_A22|20709414.246000003
CHL_A23|44079161.738
CHL_A24|13920.479999999996
CHL_A25|3976557.925
CHL_A26|1248326.8180000002
CHN_A01|1574925101.98
CHN_A02|171690040.27000004
CHN_A03|934812325.429
CHN_A04|1603454206.25
CHN_A05|1382644790.3470001
CHN_A06|697831087.1770002
CHN_A07|3668738089.2490005
CHN_A08|2602951059.1939993
CHN_A09|4303639039.703
CHN_A10|1283313897.151
CHN_A11|396904957.421
CHN_A12|119201334.61
CHN_A13|1052146332.3479999
CHN_A14|2991999925.2599998
CHN_A15|36363982.932
CHN_A16|468690675.97
CHN_A17|1042432760.604
CHN_A18|645652232.823
CHN_A19|1313725780.7120001
CHN_A20|394249897.995
CHN_A21|2501374875.1260004
CHN_A22|96045578.18099998
CHN_A23|1666205880.409
CHN_A24|7394245.489
CHN_A25|861408260.6370001
CHN_A26|43694.412000000004
CIV_A01|10305682.849
CIV_A02|276105.0360000001
CIV_A03|856552.0820000003
CIV_A04|3217076.5119999996
CIV_A05|551091.733
CIV_A06|1785256.984
CIV_A07|3690290.3389999997
CIV_A08|1329755.2170000002
CIV_A09|4003034.81
CIV_A10|1779922.247
CIV_A11|563610.422
CIV_A12|99719.34
CIV_A13|3089757.0489999996
CIV_A14|4069342.6270000003
CIV_A15|171275.56200000003
CIV_A16|3232278.37
CIV_A17|2888849.8000000003
CIV_A18|2044181.0629999998
CIV_A19|2642877.581
CIV_A20|2571762.761
CIV_A21|10736298.571999999
CIV_A22|3826462.0760000004
CIV_A23|4640002.206
CIV_A24|89655.241
CIV_A25|162072.523
CIV_A26|13208.422999999999
CMR_A01|5497687.249
CMR_A02|285069.972
CMR_A03|1415004.756
CMR_A04|2191714.0640000002
CMR_A05|479138.914
CMR_A06|1729395.9980000001
CMR_A07|3160070.404
CMR_A08|1387788.5929999996
CMR_A09|3828701.872
CMR_A10|1680938.5159999998
CMR_A11|586704.048
CMR_A12|145660.12800000003
CMR_A13|1825182.781
CMR_A14|4119269.1969999997
CMR_A15|205997.076
CMR_A16|3786518.5990000004
CMR_A17|3607362.659
CMR_A18|2466080.8910000003
CMR_A19|2440286.208
CMR_A20|2488349.4570000004
CMR_A21|12101264.004999999
CMR_A22|3118187.6750000003
CMR_A23|4738138.842
CMR_A24|88031.402
CMR_A25|162841.33500000002
CMR_A26|26852.08
COD_A01|8768667.842999998
COD_A02|595623.578
COD_A03|6924325.504000001
COD_A04|3586261.034
COD_A05|752560.6290000002
COD_A06|2193002.9349999996
COD_A07|5302679.086999999
COD_A08|2392197.8299999996
COD_A09|5881397.256
COD_A10|2530871.596
COD_A11|949415.7219999998
COD_A12|213994.144
COD_A13|5868521.797
COD_A14|3803428.327
COD_A15|225206.332
COD_A16|3996548.5349999997
COD_A17|3424251.417
