Group Code,Country or Area Code,Country or Area,SNA93 Table Code,Sub Group,Item Code,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
201,352,Iceland,2.1,Industries,4,"Electricity, gas and water supply",E,2003,200,Icelandic króna       ,1993,Western calendar year,25368282194,
201,352,Iceland,2.1,Industries,5,Construction,F,2003,200,Icelandic króna       ,1993,Western calendar year,54351945169,
201,352,Iceland,2.1,Industries,6,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants",G+H,2003,200,Icelandic króna       ,1993,Western calendar year,81524814872,
201,352,Iceland,2.1,Industries,23,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods",G,2003,200,Icelandic króna       ,1993,Western calendar year,69229358504,
201,352,Iceland,2.1,Industries,24,Hotels and restaurants,H,2003,200,Icelandic króna       ,1993,Western calendar year,12295456368,
201,352,Iceland,2.1,Industries,7,"Transport, storage and communications",I,2003,200,Icelandic króna       ,1993,Western calendar year,57691511678,
201,352,Iceland,2.1,Industries,8,"Financial intermediation; real estate, renting and business activities",J+K,2003,200,Icelandic króna       ,1993,Western calendar year,1.68475E+11,
201,352,Iceland,2.1,Industries,27,Financial intermediation,J,2003,200,Icelandic króna       ,1993,Western calendar year,52548841039,
201,352,Iceland,2.1,Industries,28,"Real estate, renting and business activities",K,2003,200,Icelandic króna       ,1993,Western calendar year,1.15926E+11,
201,352,Iceland,2.1,Industries,9,Public administration and defence; compulsory social security,L,2003,200,Icelandic króna       ,1993,Western calendar year,43054700136,
201,352,Iceland,2.1,Industries,10,"Education; health and social work; other community, social and personal services",M+N+O,2003,200,Icelandic króna       ,1993,Western calendar year,1.4083E+11,
201,352,Iceland,2.1,Industries,29,Education,M,2003,200,Icelandic króna       ,1993,Western calendar year,42436569904,
201,352,Iceland,2.1,Industries,30,Health and social work,N,2003,200,Icelandic króna       ,1993,Western calendar year,72351666993,
201,352,Iceland,2.1,Industries,31,"Other community, social and personal services",O,2003,200,Icelandic króna       ,1993,Western calendar year,26041429120,
201,352,Iceland,2.1,Industries,11,Private households with employed persons,P,2003,200,Icelandic króna       ,1993,Western calendar year,543754200,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2003,200,Icelandic króna       ,1993,Western calendar year,7.16354E+11,
201,352,Iceland,2.1,Industries,32,Plus: Taxes less Subsidies on products,D.21-D.31,2003,200,Icelandic króna       ,1993,Western calendar year,1.25136E+11,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2003,200,Icelandic króna       ,1993,Western calendar year,8.4149E+11,
201,352,Iceland,2.1,Industries,1,"Agriculture, hunting, forestry; fishing",A+B,2002,200,Icelandic króna       ,1993,Western calendar year,62405792969,
201,352,Iceland,2.1,Industries,22,"Agriculture, hunting, forestry",A,2002,200,Icelandic króna       ,1993,Western calendar year,10445667745,
201,352,Iceland,2.1,Industries,19,"Agriculture, hunting and related service activities",1,2002,200,Icelandic króna       ,1993,Western calendar year,10445667745,
201,352,Iceland,2.1,Industries,21,Fishing,B,2002,200,Icelandic króna       ,1993,Western calendar year,51960125224,
201,352,Iceland,2.1,Industries,2,Mining and quarrying,C,2002,200,Icelandic króna       ,1993,Western calendar year,783712842,
201,352,Iceland,2.1,Industries,3,Manufacturing,D,2002,200,Icelandic króna       ,1993,Western calendar year,95116907438,
201,352,Iceland,2.1,Industries,4,"Electricity, gas and water supply",E,2002,200,Icelandic króna       ,1993,Western calendar year,25162827032,
201,352,Iceland,2.1,Industries,5,Construction,F,2002,200,Icelandic króna       ,1993,Western calendar year,51025889717,
201,352,Iceland,2.1,Industries,6,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants",G+H,2002,200,Icelandic króna       ,1993,Western calendar year,83685952359,
201,352,Iceland,2.1,Industries,23,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods",G,2002,200,Icelandic króna       ,1993,Western calendar year,71935813855,
201,352,Iceland,2.1,Industries,24,Hotels and restaurants,H,2002,200,Icelandic króna       ,1993,Western calendar year,11750138504,
201,352,Iceland,2.1,Industries,7,"Transport, storage and communications",I,2002,200,Icelandic króna       ,1993,Western calendar year,60013832244,
201,352,Iceland,2.1,Industries,8,"Financial intermediation; real estate, renting and business activities",J+K,2002,200,Icelandic króna       ,1993,Western calendar year,1.50593E+11,
201,352,Iceland,2.1,Industries,27,Financial intermediation,J,2002,200,Icelandic króna       ,1993,Western calendar year,48986559987,
201,352,Iceland,2.1,Industries,28,"Real estate, renting and business activities",K,2002,200,Icelandic króna       ,1993,Western calendar year,1.01607E+11,
201,352,Iceland,2.1,Industries,9,Public administration and defence; compulsory social security,L,2002,200,Icelandic króna       ,1993,Western calendar year,40920662891,
201,352,Iceland,2.1,Industries,10,"Education; health and social work; other community, social and personal services",M+N+O,2002,200,Icelandic króna       ,1993,Western calendar year,1.323E+11,
201,352,Iceland,2.1,Industries,29,Education,M,2002,200,Icelandic króna       ,1993,Western calendar year,38666540977,
201,352,Iceland,2.1,Industries,30,Health and social work,N,2002,200,Icelandic króna       ,1993,Western calendar year,68730765861,
201,352,Iceland,2.1,Industries,31,"Other community, social and personal services",O,2002,200,Icelandic króna       ,1993,Western calendar year,24902852065,
201,352,Iceland,2.1,Industries,11,Private households with employed persons,P,2002,200,Icelandic króna       ,1993,Western calendar year,521447798,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2002,200,Icelandic króna       ,1993,Western calendar year,7.01399E+11,
201,352,Iceland,2.1,Industries,32,Plus: Taxes less Subsidies on products,D.21-D.31,2002,200,Icelandic króna       ,1993,Western calendar year,1.15051E+11,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2002,200,Icelandic króna       ,1993,Western calendar year,8.1645E+11,
201,352,Iceland,2.1,Industries,1,"Agriculture, hunting, forestry; fishing",A+B,2001,200,Icelandic króna       ,1993,Western calendar year,58867901879,
201,352,Iceland,2.1,Industries,22,"Agriculture, hunting, forestry",A,2001,200,Icelandic króna       ,1993,Western calendar year,9862348189,
201,352,Iceland,2.1,Industries,19,"Agriculture, hunting and related service activities",1,2001,200,Icelandic króna       ,1993,Western calendar year,9862348189,
201,352,Iceland,2.1,Industries,21,Fishing,B,2001,200,Icelandic króna       ,1993,Western calendar year,49005553690,
201,352,Iceland,2.1,Industries,2,Mining and quarrying,C,2001,200,Icelandic króna       ,1993,Western calendar year,945063717,
201,352,Iceland,2.1,Industries,3,Manufacturing,D,2001,200,Icelandic króna       ,1993,Western calendar year,1.05153E+11,
201,352,Iceland,2.1,Industries,4,"Electricity, gas and water supply",E,2001,200,Icelandic króna       ,1993,Western calendar year,24356795072,
201,352,Iceland,2.1,Industries,5,Construction,F,2001,200,Icelandic króna       ,1993,Western calendar year,51169556769,
201,352,Iceland,2.1,Industries,6,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants",G+H,2001,200,Icelandic króna       ,1993,Western calendar year,76751864098,
201,352,Iceland,2.1,Industries,23,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods",G,2001,200,Icelandic króna       ,1993,Western calendar year,65304706537,
201,352,Iceland,2.1,Industries,24,Hotels and restaurants,H,2001,200,Icelandic króna       ,1993,Western calendar year,11447157561,
201,352,Iceland,2.1,Industries,7,"Transport, storage and communications",I,2001,200,Icelandic króna       ,1993,Western calendar year,54772030224,
201,352,Iceland,2.1,Industries,8,"Financial intermediation; real estate, renting and business activities",J+K,2001,200,Icelandic króna       ,1993,Western calendar year,1.3739E+11,
201,352,Iceland,2.1,Industries,27,Financial intermediation,J,2001,200,Icelandic króna       ,1993,Western calendar year,43931533094,
201,352,Iceland,2.1,Industries,28,"Real estate, renting and business activities",K,2001,200,Icelandic króna       ,1993,Western calendar year,93458210212,
201,352,Iceland,2.1,Industries,9,Public administration and defence; compulsory social security,L,2001,200,Icelandic króna       ,1993,Western calendar year,37664783869,
201,352,Iceland,2.1,Industries,10,"Education; health and social work; other community, social and personal services",M+N+O,2001,200,Icelandic króna       ,1993,Western calendar year,1.18497E+11,
201,352,Iceland,2.1,Industries,29,Education,M,2001,200,Icelandic króna       ,1993,Western calendar year,33949785825,
201,352,Iceland,2.1,Industries,30,Health and social work,N,2001,200,Icelandic króna       ,1993,Western calendar year,62403973565,
201,352,Iceland,2.1,Industries,31,"Other community, social and personal services",O,2001,200,Icelandic króna       ,1993,Western calendar year,22142795007,
201,352,Iceland,2.1,Industries,11,Private households with employed persons,P,2001,200,Icelandic króna       ,1993,Western calendar year,493559142,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2001,200,Icelandic króna       ,1993,Western calendar year,6.6259E+11,
201,352,Iceland,2.1,Industries,32,Plus: Taxes less Subsidies on products,D.21-D.31,2001,200,Icelandic króna       ,1993,Western calendar year,1.09303E+11,
